channelId,bias
UCSTy-H5lSiCcozas32sfJlQ,extremeright
UCMLbmp5tcLxzahMLTmeM4lg,extremeright
UCyZVnp-_owuoPlzNJNtaxZQ,extremeright
UCmtALVZjXFzb4v3fIXDmDyw,extremeright
UClMWnUHbxJKJLUgloN1mPUA,extremeright
UC4f8Z2XefBDL421pnNEQH0Q,extremeright
UCFc0stDRUkeBDc36qZeox1g,extremeright
UCFUC7NaTxZanB_FVOJN92eg,extremeright
UC_NPMpK-gZVIKqvDRljgbBA,extremeright
UC2JVrseRgh0ccDQ7c8qnXTQ,extremeright
UCXfJ65sVQ5F3nJsm86yM6jA,extremeright
UC94FYUJYBqq4CHPhfJUCxDw,extremeright
UCAgBUlIpzlJaE0693J3s97w,extremeright
UCp-c7UZowNgx_sGtGCI8M1g,extremeright
UCZeP6H2mELnRI9imY5Iga0g,extremeright
UCOtFVJUoek4TKZAaeQVhiLA,extremeright
UCIZBXVGIJoJMXf8giib0IiQ,extremeright
UCowcNKm1w2GGw5U_XQeduhg,extremeright
UCN0-RRaxMgh86eOwndAklxw,extremeright
UCLfhh63n0fWn0gXXKQ5NWvw,extremeright
UCutpp9X6rKErxUkv4wKBRPA,extremeright
UCNP2yhz10CUEKhzHCUu2r4Q,extremeright
UCGJNdaSwFeP3pLd1MhN0dRg,extremeright
UCmrLCXSDScliR7q8AxxjvXg,extremeright
UCZmn5TswQ0m13ihKsbJ8Wzw,extremeright
UC68k9B1W2GTDZv9e10ySrxA,extremeright
UCBceihEYR7elOoeWTuDhAzA,extremeright
UCVyzFlPnWjqrgVljH8QUiCQ,extremeright
UCoWQunH1zvFa6u3IoMXQjRw,extremeright
UCnxxPKzboofuvEjFGofkm9A,extremeright
UC7-24nwy8Zg_Yweu6ujnZjA,extremeright
UCP-rwC3mqNH1cVYYVZHziKw,extremeright
UCK68w5LvF6DIOqZAU0uUqSQ,extremeright
UCmzjD8K7LfpkYs-hs3fZP1w,extremeright
UCGUg8tKiuqCM3ZCAy3XdmKA,extremeright
UC66IBH4uFkBTzEh2olFFJSg,extremeright
UCyOOQJzQSNMjFJqb3gQENtg,extremeright
UCur6nu-T7FilkEztCm_S8yA,extremeright
UCao3EH2t9wOFPmu2F4i4bag,extremeright
UCRAxuaq1xwUGuQ_KaOYbUXg,extremeright
UCnXCniozJS4YQAM9n0ocKzQ,extremeright
UCZtDKD0pFpPclXA7ZAti90w,extremeright
UCJpdwEg7vrj_61e0Bfnx02w,extremeright
UCVO8YsD87ibqRGIJ7o8sOzg,extremeright
UCcAhXQl-YWTU9wzfm5R5t7g,extremeright
UCWoPKumdlQTSw1M4UPsYXzQ,extremeright
UCIfnKm98q78j2ZNcfSQhhCQ,extremeright
UCRr7mGBwURyRGM2BRPV3hNQ,extremeright
UCQHb0fs5LiCGf8E8o_duxNQ,extremeright
UCRWRClsBI3p9gnYO8UBst2g,extremeright
UC9E2GVCdoEQGd1MN-JRkjNw,extremeright
UC3FqYK9UCKtmcTwSYo7mwpw,extremeright
UC0b-vEnPRxtkMJj7xxDnJIA,extremeright
UCr6gdokI-jE_T1b5AmOOdxg,extremeright
UCqDUhDiWJdk3inMxtEPOUWw,extremeright
UCLM6JlQkQ9tltBL9Bipci9g,extremeright
UC7FwgvmNdQC_3KJhew7cfNQ,extremeright
UCdEfsAy6rUDPnm9HwKA_asg,extremeright
UCKmcfC22VcMbUMJAAWq9zdw,extremeright
UCPaDUD522GNh4WqMqTnzO2A,extremeright
UC1B82kNwoGlRwcFt3xWa6Rg,extremeright
UC3eWseER6XOMR6RcwcIJ23A,extremeright
UChBsOxskMpDmBAsgJ91fKcg,extremeright
UCUXTC5yhqkNTKDvK5-lAUJw,extremeright
UCg3sDb6KYo-IuU94Ym08H3g,extremeright
UC2w1CQqPli4w94-PCg2UvJQ,extremeright
UCvX0YZy3iET81JImRRKnAfQ,extremeright
UCFWmmu2MmGW8Obc5pNDDJmw,extremeright
UCdf14z6V0MWNeVcbAz0r8wQ,extremeright
UC7zgrGKsGDeeu9xrz2qNTXg,extremeright
UCc7nGMWfSL48llqTeyQNQ_Q,extremeright
UCSTp3xBWG5SbMiDwjJQQ0Lg,extremeright
UCoHbKigbQVbt6mygvfKwgmA,extremeright
UCxBZXHQ2aTr8Bdw8s5ZY4xQ,extremeright
UCHC60upCUfq7EAfw6oDQRDA,extremeright
UChKlct63f5tEY-twY8TKAcg,extremeright
UCkXYznmArMELRxH_36uM1lQ,extremeright
UCI3rQP3WFT_GwNRtnjHHqzw,extremeright
UCP9oVEmpxbxmHd1_s3w6wTw,extremeright
UCQB3Xg02E0MOlyfitgw2qhg,extremeright
UC2LSaEGBHvAvNf9ufcJfk2w,extremeright
UCtBv3C8qTj7kaRGVu8UQfLQ,extremeright
UCQZdMTHwIw_fZRk0wI8oqkQ,extremeright
UCRRiIGO2htEoKTB73q9Mjsw,extremeright
UC0h-sR-xyYLX7sSO46ovo2A,extremeright
UCuVUvrf4H3XnwNa2yvFXxYA,extremeright
UCkY8CvV8WQFe87CZGmvuYHA,extremeright
UCsdPzJBJYQlsKigw_3XTqJw,extremeright
UCvQECJukTDE2i6aCoMnS-Vg,center
UC64UiPJwM_e9AqAd7RiD7JA,center
UCpZ5qUqpW4hW4zdfuBxMSJA,center
UC0p5jTq6Xx_DosDFxVXnWaQ,center
UC4WdIJ_D_lJb87uE3JV5SgQ,center
UCOClvgLYa7g75eIaTdwj_vg,center
UCw-kH-Od73XDAt7qtH9uBYA,center
UCb--64Gl51jIEVE-GLDAVTg,center
UCoUxsWakJucWg46KW5RsvPw,center
